Player|Mat|Inns|Balls|Mdns|Runs|Wkts|4|5|Ct|St|Ave|SR|Econ
M Ntini|9|9|210|2|242|7|1|0|1|0|34.57|30|6.91
M Prasidh Krishna|18|18|410|0|637|14|1|0|3|0|45.5|29.29|9.32
M Rawat|18|0|0|0|0|0|0|0|16|2|0|0|0
M Vijay|103|4|36|0|49|0|0|0|47|0|0|0|8.17
M Vohra|49|0|0|0|0|0|0|0|13|0|0|0|0
M de Lange|5|5|108|1|169|5|0|0|0|0|33.8|21.6|9.39
MA Agarwal|77|0|0|0|0|0|0|0|29|0|0|0|0
MA Khote|4|2|30|0|51|2|0|0|0|0|25.5|15|10.2
MA Starc|27|26|580|1|693|34|1|0|16|0|20.38|17.06|7.17
MA Wood|1|1|24|0|49|0|0|0|1|0|0|0|12.25
MB Parmar|1|1|18|0|33|0|0|0|0|0|0|0|11
MC Henriques|57|55|890|0|1244|38|0|0|27|0|32.74|23.42|8.39
MC Juneja|7|0|0|0|0|0|0|0|0|0|0|0|0
MD Mishra|18|0|0|0|0|0|0|0|1|0|0|0|0
MDKJ Perera|2|0|0|0|0|0|0|0|0|0|0|0|0
MEK Hussey|59|0|0|0|0|0|0|0|26|0|0|0|0
MF Maharoof|20|20|420|0|520|27|0|0|4|0|19.26|15.56|7.43
MG Johnson|54|54|1232|2|1702|61|0|0|15|0|27.9|20.2|8.29
MG Neser|1|1|24|0|62|0|0|0|0|0|0|0|15.5
MJ Clarke|6|5|66|0|67|2|0|0|1|0|33.5|33|6.09
MJ Guptill|13|0|0|0|0|0|0|0|7|0|0|0|0
MJ Henry|2|2|30|0|71|1|0|0|0|0|71|30|14.2
MJ Lumb|12|0|0|0|0|0|0|0|5|0|0|0|0
MJ McClenaghan|56|56|1274|1|1803|71|1|0|1|0|25.39|17.94|8.49
MJ Santner|4|4|84|0|94|4|0|0|1|0|23.5|21|6.71
MK Lomror|4|2|18|0|27|0|0|0|1|0|0|0|9
MK Pandey|130|0|0|0|0|0|0|0|63|0|0|0|0
MK Tiwary|98|6|42|0|83|1|0|0|46|0|83|42|11.86
ML Hayden|32|0|0|0|0|0|0|0|11|0|0|0|0
MM Ali|16|14|229|0|266|9|0|0|3|0|29.56|25.44|6.97
MM Patel|63|63|1355|5|1698|74|2|1|15|0|22.95|18.31|7.52
MM Sharma|85|85|1730|0|2425|91|1|0|18|0|26.65|19.01|8.41
MN Samuels|15|11|214|0|284|9|0|0|2|0|31.56|23.78|7.96
MN van Wyk|5|0|0|0|0|0|0|0|7|0|0|0|0
MP Stoinis|29|24|367|0|569|15|1|0|7|0|37.93|24.47|9.3
MR Marsh|20|18|315|0|414|20|1|0|7|0|20.7|15.75|7.89
MS Bisla|39|0|0|0|0|0|0|0|20|7|0|0|0
MS Dhoni|190|0|0|0|0|0|0|0|98|38|0|0|0
MS Gony|44|44|888|3|1287|37|0|0|6|0|34.78|24|8.7
MS Wade|3|0|0|0|0|0|0|0|0|0|0|0|0
MV Boucher|31|0|0|0|0|0|0|0|14|3|0|0|0
Mandeep Singh|97|2|12|0|26|0|0|0|35|0|0|0|13
Mashrafe Mortaza|1|1|24|0|58|0|0|0|0|0|0|0|14.5
Misbah-ul-Haq|8|0|0|0|0|0|0|0|1|0|0|0|0
Mohammad Ashraful|1|0|0|0|0|0|0|0|2|0|0|0|0
Mohammad Asif|8|8|192|0|296|8|0|0|1|0|37|24|9.25
Mohammad Hafeez|8|4|60|0|68|2|0|0|1|0|34|30|6.8
Mohammad Nabi|13|13|271|0|299|11|1|0|6|0|27.18|24.64|6.62
Mohammed Shami|49|49|1032|0|1547|40|0|0|8|0|38.67|25.8|8.99
Mohammed Siraj|26|26|553|1|848|28|1|0|8|0|30.29|19.75|9.2
Mujeeb Ur Rahman|16|16|362|0|480|17|0|0|2|0|28.24|21.29|7.96
Mustafizur Rahman|24|24|547|1|685|24|0|0|4|0|28.54|22.79|7.51
N Pooran|7|0|0|0|0|0|0|0|1|0|0|0|0
N Rana|46|12|91|0|119|7|0|0|9|0|17|13|7.85
N Saini|10|0|0|0|0|0|0|0|11|2|0|0|0
NA Saini|13|13|288|0|397|11|0|0|3|0|36.09|26.18|8.27
NB Singh|2|2|24|0|15|1|0|0|0|0|15|24|3.75
ND Doshi|4|4|56|0|79|2|0|0|0|0|39.5|28|8.46
NJ Maddinson|3|0|0|0|0|0|0|0|1|0|0|0|0
NJ Rimmington|1|1|18|0|19|0|0|0|0|0|0|0|6.33
NK Patel|9|0|0|0|0|0|0|0|6|0|0|0|0
NL McCullum|2|2|30|0|34|0|0|0|1|0|0|0|6.8
NLTC Perera|37|36|698|0|1016|31|0|0|12|0|32.77|22.52|8.73
NM Coulter-Nile|26|25|563|1|719|36|1|0|8|0|19.97|15.64|7.66
NS Naik|3|0|0|0|0|0|0|0|2|0|0|0|0
NV Ojha|113|0|0|0|0|0|0|0|65|10|0|0|0
O Thomas|4|4|60|0|79|5|0|0|1|0|15.8|12|7.9
OA Shah|23|0|0|0|0|0|0|0|7|0|0|0|0
P Amarnath|6|6|132|0|236|7|0|0|2|0|33.71|18.86|10.73
P Awana|33|33|747|2|1029|39|1|0|4|0|26.38|19.15|8.27
P Chopra|2|0|0|0|0|0|0|0|0|0|0|0|0
P Dharmani|1|0|0|0|0|0|0|0|0|0|0|0|0
P Dogra|13|0|0|0|0|0|0|0|4|0|0|0|0
P Kumar|119|119|2524|14|3251|90|0|0|14|0|36.12|28.04|7.73
P Negi|50|42|716|0|939|34|1|0|15|0|27.62|21.06|7.87
P Parameswaran|8|8|154|0|224|9|0|0|1|0|24.89|17.11|8.73
P Prasanth|1|1|6|0|18|0|0|0|0|0|0|0|18
P Ray Barman|1|1|24|0|56|0|0|0|0|0|0|0|14
P Sahu|5|5|105|0|146|3|0|0|0|0|48.67|35|8.34
P Simran Singh|1|0|0|0|0|0|0|0|1|0|0|0|0
P Suyal|5|5|96|0|151|2|0|0|1|0|75.5|48|9.44
PA Patel|139|0|0|0|0|0|0|0|69|16|0|0|0
PA Reddy|12|0|0|0|0|0|0|0|2|0|0|0|0
PC Valthaty|23|10|151|0|205|7|1|0|3|0|29.29|21.57|8.15
PD Collingwood|8|6|89|0|101|5|0|0|4|0|20.2|17.8|6.81
PJ Cummins|16|16|361|1|499|17|0|0|2|0|29.35|21.24|8.29
PJ Sangwan|39|39|802|1|1175|35|0|0|6|0|33.57|22.91|8.79
PM Sarvesh Kumar|2|2|30|0|42|1|0|0|0|0|42|30|8.4
PP Chawla|157|156|3124|2|4072|150|2|0|40|0|27.15|20.83|7.82
PP Ojha|92|90|1899|1|2332|89|0|0|14|0|26.2|21.34|7.37
PP Shaw|25|0|0|0|0|0|0|0|6|0|0|0|0
PR Shah|16|0|0|0|0|0|0|0|10|3|0|0|0
PSP Handscomb|2|0|0|0|0|0|0|0|0|0|0|0|0
PV Tambe|33|33|660|0|853|28|1|0|4|0|30.46|23.57|7.75
Pankaj Singh|17|17|300|1|468|11|0|0|2|0|42.55|27.27|9.36
Parvez Rasool|11|11|198|0|271|4|0|0|3|0|67.75|49.5|8.21
Q de Kock|50|0|0|0|0|0|0|0|31|8|0|0|0
R Ashwin|139|136|2924|4|3309|125|1|0|32|0|26.47|23.39|6.79
R Bhatia|95|91|1636|1|2020|71|1|0|25|0|28.45|23.04|7.41
R Bishnoi|3|0|0|0|0|0|0|0|1|0|0|0|0
R Dhawan|26|25|488|1|640|18|0|0|6|0|35.56|27.11|7.87
R Dravid|89|0|0|0|0|0|0|0|18|0|0|0|0
R McLaren|18|18|354|0|542|12|0|0|5|0|45.17|29.5|9.19
R Ninan|2|2|36|0|65|3|0|0|1|0|21.67|12|10.83
R Parag|7|7|84|0|121|2|0|0|5|0|60.5|42|8.64
R Rampaul|12|12|262|4|298|14|0|0|4|0|21.29|18.71|6.82
R Sathish|34|14|139|0|232|3|0|0|6|0|77.33|46.33|10.01
R Sharma|44|44|928|1|1086|40|0|0|12|0|27.15|23.2|7.02
R Shukla|7|7|120|0|208|5|0|0|3|0|41.6|24|10.4
R Tewatia|20|18|296|0|354|14|0|0|8|0|25.29|21.14|7.18
R Vinay Kumar|105|104|2121|1|2966|105|1|0|35|0|28.25|20.2|8.39
RA Jadeja|170|142|2495|1|3152|108|3|1|63|0|29.19|23.1|7.58
RA Shaikh|1|1|6|0|11|0|0|0|0|0|0|0|11
RA Tripathi|34|1|6|0|12|0|0|0|12|0|0|0|12
RD Chahar|16|15|324|0|366|15|0|0|4|0|24.4|21.6|6.78
RE Levi|6|0|0|0|0|0|0|0|2|0|0|0|0
RE van der Merwe|21|21|443|1|498|21|0|0|8|0|23.71|21.1|6.74
RG More|2|2|35|0|59|1|0|0|1|0|59|35|10.11
RG Sharma|188|30|332|0|440|15|1|0|83|0|29.33|22.13|7.95
RJ Harris|37|37|832|3|1047|45|1|0|20|0|23.27|18.49|7.55
RJ Peterson|5|4|48|0|70|3|0|0|1|0|23.33|16|8.75
RJ Quiney|7|0|0|0|0|0|0|0|1|0|0|0|0
RK Bhui|2|0|0|0|0|0|0|0|0|0|0|0|0
RK Singh|9|0|0|0|0|0|0|0|5|0|0|0|0
RN ten Doeschate|29|10|78|0|94|2|0|0|8|0|47|39|7.23
RP Singh|82|82|1775|2|2338|90|2|0|29|0|25.98|19.72|7.9
RR Bhatkal|1|1|12|0|35|0|0|0|1|0|0|0|17.5
RR Bose|1|1|12|0|24|0|0|0|0|0|0|0|12
RR Pant|54|0|0|0|0|0|0|0|33|11|0|0|0
RR Powar|27|26|426|0|527|13|0|0|5|0|40.54|32.77|7.42
RR Raje|10|10|139|0|209|6|0|0|3|0|34.83|23.17|9.02
RR Rossouw|5|0|0|0|0|0|0|0|2|0|0|0|0
RR Sarwan|4|0|0|0|0|0|0|0|1|0|0|0|0
RS Bopara|24|14|206|0|292|11|0|0|7|0|26.55|18.73|8.5
RS Gavaskar|2|1|6|0|8|0|0|0|0|0|0|0|8
RS Sodhi|3|0|0|0|0|0|0|0|2|0|0|0|0
RT Ponting|10|0|0|0|0|0|0|0|4|0|0|0|0
RV Gomez|13|9|96|1|129|5|0|0|3|0|25.8|19.2|8.06
RV Pawar|1|0|0|0|0|0|0|0|0|0|0|0|0
RV Uthappa|177|0|0|0|0|0|0|0|84|32|0|0|0
RW Price|1|1|18|0|33|0|0|0|0|0|0|0|11
Rashid Khan|46|46|1092|3|1193|55|0|0|15|0|21.69|19.85|6.55
Rasikh Salam|1|1|24|0|42|0|0|0|1|0|0|0|10.5
S Anirudha|20|0|0|0|0|0|0|0|11|0|0|0|0
S Aravind|38|38|760|0|1039|45|2|0|8|0|23.09|16.89|8.2
S Badree|12|12|258|1|319|11|1|0|2|0|29|23.45|7.42
S Badrinath|95|0|0|0|0|0|0|0|16|0|0|0|0
S Chanderpaul|3|0|0|0|0|0|0|0|0|0|0|0|0
S Dhawan|159|6|48|0|66|4|0|0|68|0|16.5|12|8.25
S Dube|4|2|10|0|8|0|0|0|1|0|0|0|4.8
S Gopal|31|30|589|1|737|38|1|0|9|0|19.39|15.5|7.51
S Kaul|45|45|981|2|1385|49|1|0|7|0|28.27|20.02|8.47
S Kaushik|10|10|204|0|297|6|0|0|0|0|49.5|34|8.74
S Ladda|9|9|138|0|224|5|0|0|1|0|44.8|27.6|9.74
S Lamichhane|9|9|210|0|292|13|0|0|2|0|22.46|16.15|8.34
S Midhun|1|1|12|0|27|0|0|0|1|0|0|0|13.5
S Nadeem|64|62|1259|2|1570|42|0|0|14|0|37.38|29.98|7.48
S Narwal|7|6|106|0|202|5|0|0|1|0|40.4|21.2|11.43
S Rana|11|3|16|0|18|0|0|0|3|0|0|0|6.75
S Randiv|8|8|174|0|223|6|0|0|2|0|37.17|29|7.69
S Sandeep Warrier|3|3|72|0|85|2|0|0|1|0|42.5|36|7.08
S Sohal|22|0|0|0|0|0|0|0|2|0|0|0|0
S Sreesanth|44|44|880|4|1194|40|0|0|3|0|29.85|22|8.14
S Sriram|2|2|18|0|49|0|0|0|0|0|0|0|16.33
S Tyagi|14|14|209|0|295|6|0|0|3|0|49.17|34.83|8.47
S Vidyut|9|1|12|0|22|1|0|0|1|0|22|12|11
SA Abbott|2|2|30|0|57|0|0|0|0|0|0|0|11.4
SA Asnodkar|20|0|0|0|0|0|0|0|6|0|0|0|0
SA Yadav|85|1|6|0|8|0|0|0|42|0|0|0|8
SB Bangar|12|9|150|0|219|4|0|0|2|0|54.75|37.5|8.76
SB Jakati|59|57|1085|1|1451|47|2|0|21|0|30.87|23.09|8.02
SB Joshi|4|4|55|0|82|1|0|0|0|0|82|55|8.95
SB Styris|12|11|216|0|276|8|0|0|2|0|34.5|27|7.67
SB Wagh|8|8|102|0|137|5|0|0|1|0|27.4|20.4|8.06
SC Ganguly|59|20|276|0|363|10|0|0|22|0|36.3|27.6|7.89
SC Kuggeleijn|2|2|48|0|71|2|0|0|0|0|35.5|24|8.88
SD Chitnis|11|2|36|0|60|2|0|0|2|0|30|18|10
SD Lad|1|0|0|0|0|0|0|0|0|0|0|0|0
SE Bond|8|8|186|1|224|9|0|0|1|0|24.89|20.67|7.23
SE Marsh|71|0|0|0|0|0|0|0|26|0|0|0|0
SE Rutherford|7|6|41|0|59|1|0|0|5|0|59|41|8.63
SJ Srivastava|14|14|282|0|441|14|0|0|3|0|31.5|20.14|9.38
SK Raina|193|69|908|0|1118|25|0|0|102|0|44.72|36.32|7.39
SK Trivedi|76|75|1506|2|1904|65|1|0|14|0|29.29|23.17|7.59
SK Warne|55|54|1194|1|1447|57|1|0|16|0|25.39|20.95|7.27
SL Malinga|122|122|2827|8|3366|170|6|1|21|0|19.8|16.63|7.14
SM Boland|2|2|42|0|54|2|0|0|0|0|27|21|7.71
SM Curran|9|9|198|0|323|10|1|0|2|0|32.3|19.8|9.79
SM Harwood|3|3|60|0|73|3|0|0|2|0|24.33|20|7.3
SM Katich|11|0|0|0|0|0|0|0|2|0|0|0|0
SM Pollock|13|13|276|1|301|11|0|0|2|0|27.36|25.09|6.54
SMSM Senanayake|8|8|192|1|209|9|0|0|2|0|23.22|21.33|6.53
SN Khan|33|1|2|0|6|0|0|0|2|0|0|0|18
SN Thakur|36|35|707|1|1065|36|0|0|13|0|29.58|19.64|9.04
SO Hetmyer|5|0|0|0|0|0|0|0|3|0|0|0|0
SP Fleming|10|0|0|0|0|0|0|0|2|0|0|0|0
SP Goswami|29|0|0|0|0|0|0|0|16|7|0|0|0
SP Jackson|4|0|0|0|0|0|0|0|2|0|0|0|0
SP Narine|110|109|2557|3|2845|122|6|1|17|0|23.32|20.96|6.68
SPD Smith|81|1|2|0|5|0|0|0|42|0|0|0|15
SR Tendulkar|78|4|36|0|58|0|0|0|23|0|0|0|9.67
SR Watson|134|105|2029|3|2682|92|1|0|38|0|29.15|22.05|7.93
SS Agarwal|1|1|24|0|42|1|0|0|1|0|42|24|10.5
SS Iyer|62|0|0|0|0|0|0|0|22|0|0|0|0
SS Mundhe|1|1|6|0|6|1|0|0|0|0|6|6|6
SS Sarkar|2|2|25|0|34|1|0|0|0|0|34|25|8.16
SS Shaikh|2|0|0|0|0|0|0|0|2|0|0|0|0
SS Tiwary|81|0|0|0|0|0|0|0|23|0|0|0|0
ST Jayasuriya|30|21|294|1|390|13|0|0|4|0|30|22.62|7.96
STR Binny|95|63|594|0|758|22|0|0|19|0|34.45|27|7.66
SV Samson|93|0|0|0|0|0|0|0|43|4|0|0|0
SW Billings|22|0|0|0|0|0|0|0|13|0|0|0|0
SW Tait|21|21|473|1|640|23|0|0|6|0|27.83|20.57|8.12
Sachin Baby|18|2|10|0|8|2|0|0|5|0|4|5|4.8
Salman Butt|7|0|0|0|0|0|0|0|2|0|0|0|0
Sandeep Sharma|79|79|1745|8|2272|95|2|0|11|0|23.92|18.37|7.81
Shahid Afridi|10|10|180|0|225|9|0|0|4|0|25|20|7.5
Shakib Al Hasan|63|62|1328|1|1652|59|0|0|11|0|28|22.51|7.46
Shivam Mavi|9|9|168|0|270|5|0|0|3|0|54|33.6|9.64
Shivam Sharma|5|5|114|0|165|4|0|0|1|0|41.25|28.5|8.68
Shoaib Ahmed|8|7|102|0|152|5|0|0|4|0|30.4|20.4|8.94
Shoaib Akhtar|3|3|42|0|54|5|1|0|0|0|10.8|8.4|7.71
Shoaib Malik|7|5|51|0|85|2|0|0|5|0|42.5|25.5|10
Shubman Gill|27|0|0|0|0|0|0|0|10|0|0|0|0
Sohail Tanvir|11|11|247|0|266|22|1|1|4|0|12.09|11.23|6.46
Sunny Gupta|1|1|18|0|47|0|0|0|0|0|0|0|15.67
Sunny Singh|6|0|0|0|0|0|0|0|1|0|0|0|0
Swapnil Singh|5|5|60|0|90|1|0|0|1|0|90|60|9
T Henderson|2|2|36|0|40|1|0|0|0|0|40|36|6.67
T Kohli|4|0|0|0|0|0|0|0|1|0|0|0|0
T Mishra|1|0|0|0|0|0|0|0|1|0|0|0|0
T Natarajan|6|6|76|0|115|2|0|0|0|0|57.5|38|9.08
T Shamsi|4|4|96|0|147|3|0|0|1|0|49|32|9.19
T Taibu|3|0|0|0|0|0|0|0|1|0|0|0|0
T Thushara|6|6|135|0|161|8|0|0|3|0|20.12|16.88|7.16
TA Boult|33|33|765|1|1120|38|0|0|14|0|29.47|20.13|8.78
TD Paine|2|0|0|0|0|0|0|0|0|0|0|0|0
TG Southee|40|40|888|2|1293|28|0|0|17|0|46.18|31.71|8.74
TK Curran|5|5|61|0|118|6|0|0|1|0|19.67|10.17|11.61
TL Suman|43|11|150|0|197|6|0|0|10|0|32.83|25|7.88
TM Dilshan|52|25|271|0|366|5|0|0|20|0|73.2|54.2|8.1
TM Head|10|5|48|0|81|2|0|0|3|0|40.5|24|10.12
TM Srivastava|7|0|0|0|0|0|0|0|2|0|0|0|0
TP Sudhindra|3|3|70|0|136|1|0|0|0|0|136|70|11.66
TR Birt|5|0|0|0|0|0|0|0|0|0|0|0|0
TS Mills|5|5|107|0|153|5|0|0|1|0|30.6|21.4|8.58
Tejas Baroka|1|1|21|0|33|0|0|0|0|0|0|0|9.43
U Kaul|5|0|0|0|0|0|0|0|2|0|0|0|0
UA Birla|2|0|0|0|0|0|0|0|1|0|0|0|0
UBT Chand|21|0|0|0|0|0|0|0|8|0|0|0|0
UT Khawaja|6|0|0|0|0|0|0|0|1|0|0|0|0
UT Yadav|119|118|2480|3|3496|119|2|0|29|0|29.38|20.84|8.46
Umar Gul|6|6|135|1|184|12|1|0|0|0|15.33|11.25|8.18
V Kohli|177|26|251|0|368|4|0|0|73|0|92|62.75|8.8
V Pratap Singh|9|9|204|0|296|10|0|0|0|0|29.6|20.4|8.71
V Sehwag|104|15|136|0|235|6|0|0|34|0|39.17|22.67|10.37
V Shankar|33|10|84|0|147|2|0|0|17|0|73.5|42|10.5
VH Zol|3|0|0|0|0|0|0|0|0|0|0|0|0
VR Aaron|47|45|916|2|1335|42|0|0|3|0|31.79|21.81|8.74
VRV Singh|19|18|360|0|542|12|0|0|3|0|45.17|30|9.03
VS Malik|13|13|205|0|261|6|0|0|2|0|43.5|34.17|7.64
VS Yeligati|2|2|30|0|59|0|0|0|0|0|0|0|11.8
VVS Laxman|20|0|0|0|0|0|0|0|4|0|0|0|0
VY Mahesh|18|17|339|0|499|21|1|0|6|0|23.76|16.14|8.83
Vishnu Vinod|3|0|0|0|0|0|0|0|0|2|0|0|0
W Jaffer|8|0|0|0|0|0|0|0|4|0|0|0|0
WA Mota|12|7|72|0|97|4|0|0|5|0|24.25|18|8.08
WD Parnell|26|26|572|1|701|26|0|0|5|0|26.96|22|7.35
WP Saha|120|0|0|0|0|0|0|0|59|19|0|0|0
WPUJC Vaas|13|13|282|2|355|18|0|0|0|0|19.72|15.67|7.55
Washington Sundar|21|20|354|0|451|16|0|0|7|0|28.19|22.12|7.64
X Thalaivan Sargunam|1|0|0|0|0|0|0|0|0|0|0|0|0
Y Gnaneswara Rao|2|1|6|0|7|0|0|0|2|0|0|0|7
Y Nagar|26|8|66|0|125|4|0|0|6|0|31.25|16.5|11.36
Y Prithvi Raj|2|2|30|0|57|1|0|0|0|0|57|30|11.4
Y Venugopal Rao|65|20|216|0|337|6|0|0|13|0|56.17|36|9.36
YA Abdulla|11|11|209|1|307|15|2|0|0|0|20.47|13.93|8.81
YK Pathan|174|82|1147|1|1415|42|0|0|43|0|33.69|27.31|7.4
YS Chahal|84|83|1787|3|2318|100|2|0|19|0|23.18|17.87|7.78
YV Takawale|16|0|0|0|0|0|0|0|13|4|0|0|0
Yashpal Singh|8|0|0|0|0|0|0|0|3|0|0|0|0
Younis Khan|1|0|0|0|0|0|0|0|1|0|0|0|0
Yuvraj Singh|132|73|869|0|1077|36|2|0|31|0|29.92|24.14|7.44
Z Khan|100|99|2200|5|2782|102|1|0|21|0|27.27|21.57|7.59
